question,option1,option2,option3,option4,answerIndex,categoryId,subcategoryId,explanation
Who is the creator of Python?,Guido van Rossum,James Gosling,Bjarne Stroustrup,Dennis Ritchie,0,programming,python-basics,Guido van Rossum created Python.
Which symbol is used to start a comment in Python?,//,#,/*,<!--,1,programming,python-basics,# is used for comments in Python.
Which function is used to print output in Python?,print(),echo(),printf(),cout,0,programming,python-basics,print() is used for output in Python.
Which function is used to take input in Python?,input(),scanf(),cin(),get(),0,programming,python-basics,input() is used for input in Python.
What is the extension of a Python file?,.py,.java,.cpp,.js,0,programming,python-basics,.py is the extension for Python files.
Which of the following is a valid variable name?,1num,num1,num-1,num.1,1,programming,python-basics,Variable names cannot start with a digit.
Which of the following is a valid string declaration?,s = "Hello",s = 'Hello',s = Hello,s = new String,0,programming,python-basics,s = "Hello" is correct.
Which of the following is a valid integer declaration?,x = 5,int x = 5,x := 5,x => 5,0,programming,python-basics,x = 5 is correct.
Which of the following is a valid float declaration?,x = 5.0,float x = 5.0,x := 5.0,x => 5.0,0,programming,python-basics,x = 5.0 is correct.
Which of the following is a valid list declaration?,lst = [1,2,3],lst = (1,2,3),lst = {1,2,3},lst = <1,2,3>,0,programming,python-basics,lst = [1,2,3] is correct.
Which of the following is a valid tuple declaration?,t = (1,2,3),t = [1,2,3],t = {1,2,3},t = <1,2,3>,0,programming,python-basics,t = (1,2,3) is correct.
Which of the following is a valid dictionary declaration?,d = {"a":1},d = ["a":1],d = ("a":1),d = <"a":1>,0,programming,python-basics,d = {"a":1} is correct.
Which of the following is a valid set declaration?,s = {1,2,3},s = [1,2,3],s = (1,2,3),s = <1,2,3>,0,programming,python-basics,s = {1,2,3} is correct.
Which of the following is a valid for loop?,for i in range(5):,for(int i=0;i<5;i++),for i=0 to 5,for i in 1..5,0,programming,python-basics,for i in range(5): is correct.
Which of the following is a valid while loop?,while x < 5:,while(x<5),while x=5,while x==5,0,programming,python-basics,while x < 5: is correct.
Which of the following is a valid if statement?,if x == 5:,if(x==5),if x=5,if x==5,0,programming,python-basics,if x == 5: is correct.
Which of the following is a valid function definition?,def fun():,function fun(),fun def():,def:fun(),0,programming,python-basics,def fun(): is correct.
Which of the following is a valid return statement?,return x,return;x,return(x),return;x,0,programming,python-basics,return x is correct.
Which of the following is a valid import statement?,import math,import:math,math import,import-math,0,programming,python-basics,import math is correct.
Which of the following is a valid class declaration?,class C:,class C{},class C(),class C<>,0,programming,python-basics,class C: is correct.
Which of the following is a valid object creation?,obj = C(),C obj = new C(),obj = new C(),C obj(),0,programming,python-basics,obj = C() is correct.
Which of the following is a valid method call?,obj.fun(),fun(obj),obj->fun(),obj:fun(),0,programming,python-basics,obj.fun() is correct.
Which of the following is a valid attribute access?,obj.x,obj->x,obj:x,obj[x],0,programming,python-basics,obj.x is correct.
Which of the following is a valid inheritance in Python?,class B(A):,class B extends A,class B : A,class B inherits A,0,programming,python-basics,class B(A): is correct.
Which of the following is a valid super() call?,super().__init__(),super.init(),super(),super.init,0,programming,python-basics,super().__init__() is correct.
Which of the following is a valid try-except block?,try: ... except: ...,try: ... catch: ...,try: ... except ...:,try ... except ...,0,programming,python-basics,try: ... except: ... is correct.
